科目区分1,科目区分2,科目名称,配当年次,単位数,DP1-1,DP1-2,DP1-3,DP1-4,DP1-5,DP1-6,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
芸術情報学部専門科目,学部共通科目,画像と映像の基礎,1,2,◎,,,◯,,,◎,,,,,◯,,,◎,,,,◎,
芸術情報学部専門科目,学部共通科目,デザインの基礎,1,2,◯,◎,,◯,,,◎,,,,,,◯,◎,◎,◯,,◎,◯,
芸術情報学部専門科目,学部共通科目,MIDI/DAWオペレーションⅠ,1,1,,◎,◯,,,,◎,,,◯,,,,,◎,,,,◎,◯
芸術情報学部専門科目,学部共通科目,MIDI/DAWオペレーションⅡ,1,1,,◯,◎,◯,,,◯,◎,,◯,,,,,◎,,,,◎,◯
芸術情報学部専門科目,学部共通科目,ITパスポート演習,1,1,,,◯,◎,◯,,,◎,◯,◯,,,,,◎,◯,,◯,,◎
芸術情報学部専門科目,学部共通科目,空間芸術論,1,2,◎,◯,◯,◯,,,◎,,,,,◯,,,,◎,,,◎,
芸術情報学部専門科目,学部共通科目,アニメプロデュース論,1,2,,◎,◯,,,◯,,,◎,◯,◯,,◯,◎,,◯,,◎,,◯
芸術情報学部専門科目,学部共通科目,芸術概論,1,2,◎,,,◯,,,◎,,,,,◯,◎,,,◯,,◯,◎,
芸術情報学部専門科目,学部共通科目,美学,1,2,◎,◯,◯,◯,,,◎,,,,,◯,,,,◎,,,◎,
芸術情報学部専門科目,学部共通科目,人間と色彩,1,2,◎,◯,,◯,,,◎,,,,,◯,,,◎,,,,◎,
芸術情報学部専門科目,学部共通科目,映画論,1,2,◎,◯,,,,,◎,,,,,◯,◎,,,◯,,◯,◎,
芸術情報学部専門科目,学部共通科目,著作権法,1,2,◎,,,◎,◯,,,◯,◯,◎,,◎,,◯,,,,,◎,◯
芸術情報学部専門科目,学部共通科目,情報法制,1,2,◯,,,◎,◯,,◎,,,,,◯,◎,,,◯,,◎,◯,
芸術情報学部専門科目,学部共通科目,ディジタル印刷表現,1,2,◎,◎,,◯,,,◎,,,,,◯,◯,,◎,◯,,◯,◎,
芸術情報学部専門科目,学部共通科目,マーケティングリサーチ,1,2,◯,,,◎,◯,,◎,,,,,,◯,,◎,◎,,◯,◎,
芸術情報学部専門科目,学部共通科目,マルチメディア制作,1,1,◯,◎,◯,,,,◎,◯,,,,,◯,,◎,◎,,,◎,◯
芸術情報学部専門科目,学部共通科目,ヴィジュアル表現基礎Ⅰ,1,2,◯,◎,◯,,,,◎,◯,,,,,,,,◎,,,◎,◯
芸術情報学部専門科目,学部共通科目,ヴィジュアル表現基礎Ⅱ,1,2,◯,◎,◯,,,,◎,◯,,,,,,,,◎,,,◎,◯
芸術情報学部専門科目,学部共通科目,認知心理学Ａ,1,2,◯,,,◎,,,◎,,,,,,◎,,,,,,◎,
芸術情報学部専門科目,学部共通科目,認知心理学Ｂ,1,2,◯,,,◎,,,◎,,,,,,◎,,,,,,◎,
芸術情報学部専門科目,学部共通科目,感性音響学,2,2,◯,,,◎,,,◎,◯,,,,◯,◎,,,◯,,,◎,
芸術情報学部専門科目,学部共通科目,美術史Ａ（日本）,1,2,◎,,,,,,◎,,,,,◯,◎,,,◯,,,◎,
芸術情報学部専門科目,学部共通科目,美術史Ｂ（東洋）,1,2,◎,,,,,,◎,,,,,◯,◎,,,◯,◯,,◎,
芸術情報学部専門科目,学部共通科目,美術史Ｃ（西洋）,1,2,◎,,,,,,◎,,,,,◯,◎,,,◯,◯,,◎,
芸術情報学部専門科目,学部共通科目,手話表現研究,1,2,,,◯,,,◎,◯,,,◎,◯,,,◯,,◎,◯,◯,,◎
芸術表現学科専門科目,芸術表現基礎科目,音響リテラシー,1,2,◎,,,◎,◯,,◎,◎,,◯,,,,◯,◎,◎,,◯,◎,
芸術表現学科専門科目,芸術表現基礎科目,映像リテラシー,1,2,,◎,◯,◯,◯,,◎,◯,◯,,,,◯,◎,,◯,,◎,◯,◯
芸術表現学科専門科目,芸術表現基礎科目,デジタルツール概論,1,2,◎,,,◯,,,◎,,,,,◯,◎,,◯,◯,,,◎,
芸術表現学科専門科目,芸術表現基礎科目,プレゼンテーション技法,2,2,,,,◎,,,◎,,,,,,◯,,◯,◎,,◯,◎,
芸術表現学科専門科目,芸術表現基礎科目,文書作成演習Ⅰ,1,2,◯,,,◎,◯,,◎,,,,,◯,◎,,◎,◯,,◯,◎,
芸術表現学科専門科目,芸術表現基礎科目,文書作成演習Ⅱ,3,2,◯,,,◎,◎,,◯,◎,,,◯,◯,◎,,◎,◯,,◯,◎,
芸術表現学科専門科目,芸術表現基礎科目,日本音楽史,1,2,◎,,,,,,◎,,,,,,◎,,,,,,◎,
芸術表現学科専門科目,芸術表現基礎科目,西洋音楽史Ⅰ,1,2,◎,,,,,,◎,,,,,◎,◯,,,,,,◎,
芸術表現学科専門科目,芸術表現基礎科目,西洋音楽史Ⅱ,1,2,◎,,,,,,◎,,,,,◎,◯,,,,,,◎,
芸術表現学科専門科目,芸術表現基礎科目,日本演劇史,1,2,◯,,◎,,,,◎,,,,,◎,◯,,,◯,,,,◎
芸術表現学科専門科目,芸術表現基礎科目,西洋演劇史,1,2,◯,,◎,,,,◎,,,,,◎,◯,,,◯,◯,,,◎
芸術表現学科専門科目,芸術表現基礎科目,メディア論,2,2,,◎,,◯,◯,,,◯,◯,◎,,,◯,◎,,◯,,◎,◯,◯
芸術表現学科専門科目,芸術表現基礎科目,Webビジネス研究,2,2,◯,,◎,◯,,,,◯,◎,,◯,◯,,◯,◎,,,◯,◯,◎
芸術表現学科専門科目,芸術表現基礎科目,経営学概論,2,2,,,◯,◎,,,,◎,,◯,,◎,,,,◯,,◎,,◯
芸術表現学科専門科目,芸術表現基礎科目,音楽著作権,2,2,,◯,◯,◎,,,◯,◯,◎,,,◎,,◯,,,,,◎,◯
芸術表現学科専門科目,芸術表現基礎科目,芸術表現と倫理,2,2,◎,,,◯,,,◎,◯,,,,◯,◎,◯,,◎,,◎,◯,
芸術表現学科専門科目,芸術表現基礎科目,エンタテインメント企業研究,3,2,,◯,◯,◯,◎,,,◯,◎,,◯,,,,◯,◎,◯,◎,◯,◯
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,文書デザイン技法,1,2,,,,◎,,,◎,,,,,◯,◎,,◎,,,◯,◎,
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,Webデザイン基礎,1,2,,◯,,◎,,,◎,,,,,◯,◯,,◎,◯,,◯,◎,
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,エンタテインメントビジネス概論,1,2,,,◯,◯,◎,,◎,,,◯,◯,◯,,◎,,,,◎,,◯
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,エンタテインメント企画概論,1,2,,,◎,◯,◯,,◎,,,◯,◯,◯,,◎,,,,◎,,◯
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,ポップカルチャー研究,1,2,◎,,,,◯,,◯,◎,◯,,,◯,,,,,◎,◯,,◎
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,マネジメント心理学,2,2,,,◯,◯,◎,,,,,◎,◯,,,◯,◯,◎,,◎,◯,
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,ビジネス著作権,2,2,◯,,,◯,◎,,,,,◎,◯,◎,,,◯,,,,◎,
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,アートマネジメント研究Ａ,2,2,◎,,,◯,◯,,,,,◎,◯,,,◎,◯,,◯,◎,◯,◯
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,アートマネジメント研究Ｂ,2,2,◎,,,◯,◯,,,,,◎,◯,,,◎,◯,,◯,◎,◯,◯
芸術表現学科専門科目,芸術表現基本科目（情報活用ビジネス）,インターネットメディア研究,3,2,,◯,◎,◯,◯,,,,,◯,◎,◯,◯,,◎,,,◎,,◯
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,音楽応用論,1,2,◎,◯,◯,,,,,,,◯,◎,◯,,◯,,◎,,◎,,◯
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,ポピュラー音楽史,1,2,◎,,,,◯,,,◎,,,,,,,,,◎,,,◎
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,日本芸能史,1,2,◎,◯,,,,,◎,,,,,◎,,,,,,,◎,
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,諸民族の音楽,1,2,◎,◯,,,,,◎,,,,,◎,,,,,,,◎,
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,キャラクターコンテンツ研究,1,2,◎,,,,◯,,◎,,,,,◎,◎,,,◯,,,◎,
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,知的財産権入門,2,2,◯,,,◯,◎,,◯,◯,,◎,,◎,,,◯,,,,◎,◯
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,舞踊史と舞踊　,1,2,◎,,,,,,◎,,,,,◎,,,,,◯,,,◎
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,ミュージカル声楽史,1,2,◎,,,,,,◎,,,,,◎,,,,,◯,,,◎
芸術表現学科専門科目,芸術表現基本科目（芸術応用）,舞台応用芸術論,3,2,,◯,◎,,◯,,,◯,,◎,◯,,,,,◎,,◯,◎,
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,コンピュータアート論,1,2,◎,◯,,,,,◯,◎,,,,,,,◯,◎,,,◎,
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,機械学習概論,2,2,,,,◎,,,◯,◎,,,,◎,,,◯,,,,◎,
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,音楽療法概論,1,2,◯,◎,,,,,,◎,,,,◎,,,,,,,◎,
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,音楽療法演習,1,1,◯,◎,,,,,,◎,,,,,,◎,,,,◎,◯,
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,マーケティング論,2,2,,,◯,◎,,,,◎,,◯,,◎,,,,◯,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,経営戦略概論,2,2,,,◯,◎,,,,◎,,◯,,◎,,,,◯,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,会計論,3,2,,,◯,◎,,,,◎,,◯,,◎,,,,◯,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,インタラクティブアート制作,3,2,◯,◎,◎,◯,,,,◎,◎,◯,,◯,,◎,◯,◎,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,インスタレーションアート制作,3,2,◯,◎,◎,◯,,,,◎,◎,◯,,◯,,◎,◯,◎,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,劇場文化論,1,2,◯,,,◯,◎,,◯,,,◎,,,◯,,,◎,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,舞台芸術運営論,1,2,,◯,◯,,◎,,◯,,,,◎,◯,◯,,,◎,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（情報活用ビジネス）,舞台知的財産権概論,2,2,,,,◯,◎,,◎,,,◯,,◯,◯,◯,,◎,,,◯,◎
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,発声とコミュニケーション,1,2,,,,◯,,◎,◯,◎,,◯,,,,,,◎,,◯,,◎
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,コンピュータ音楽,1,2,,◎,◯,◎,,,◎,◯,,,,◯,,,◯,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,ソーシャルメディアと音楽,2,2,,,◯,◎,◯,,,,◎,◯,◯,,◎,,◯,◯,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,ワールドミュージック研究,2,2,◎,,,,,,,◎,,,,◎,◯,,,,,,◎,
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,エンタテインメントプロデュース論,2,2,◎,◯,,,◯,,,,,◎,◯,◯,◯,◎,,,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,コンサートビジネス研究,2,2,,,◯,◯,◎,,◯,◎,◯,,,◯,◯,◎,,,◯,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,音楽プロモーション研究,2,2,,,◎,◯,◯,,,,,◎,◯,,◯,◎,,,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,コンテンツビジネス研究,3,2,,,◎,,◯,◯,,,,◯,◎,◯,◯,◎,,,,◎,◯,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,環境音楽研究,3,2,◎,,,◯,◯,,,◎,◯,,,◎,◯,,,◯,,◯,◎,
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台美術研究,2,2,◯,◎,◎,,◯,,◎,◯,,,,,,◯,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台技術研究,2,2,◯,◯,◯,,◎,,◎,◯,,,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台照明研究,2,2,◯,◯,◎,,◯,,◎,◯,,,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台音響効果研究,2,2,◯,◯,◎,,◎,,◎,◯,,,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台プロデュース研究,3,2,◯,◯,◎,◯,◎,,◎,◯,,◎,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,演出論,3,2,◯,◯,◎,◯,,,◎,,,,◯,,,,,◎,,◎,◯,
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,コスチューム研究,3,2,◯,◎,◎,,,,◎,,,,,,,,,◎,,◎,,◯
芸術表現学科専門科目,芸術表現展開科目（芸術応用）,舞台芸術教育論,3,2,,,,◯,◎,,◯,,,,◎,,,,,◎,,◎,,◯
芸術表現学科専門科目,実習科目,芸術表現Ⅰ,1,1,◯,◎,◯,,◯,◎,,◎,◯,,◎,,◯,,◯,◎,,◯,◎,◎
芸術表現学科専門科目,実習科目,芸術表現Ⅱ,1,1,◯,◎,◯,,◯,◎,,◎,◯,,◎,,◯,,◯,◎,,◯,◎,◎
芸術表現学科専門科目,実習科目,芸術表現Ⅲ,2,1,◯,◎,◯,,◯,◎,,◎,◯,,◎,,◯,,◯,◎,,◯,◎,◎
芸術表現学科専門科目,実習科目,芸術表現Ⅳ,2,1,◯,◎,◯,,◯,◎,,◎,◯,,◎,,◯,,◯,◎,,◯,◎,◎
芸術表現学科専門科目,実習科目,データ分析演習,2,2,◯,,,◎,,,◎,,,,,◯,◎,,◎,◯,,◯,◎,
芸術表現学科専門科目,実習科目,経営管理ソフト演習,2,1,,◯,◯,◎,,,,◎,,◎,,◯,◎,◎,,◯,,◎,,◯
芸術表現学科専門科目,実習科目,JavaScriptプログラミング,2,2,,◯,◎,◯,,,,◎,,◯,,,◯,,◯,◎,,,◎,
芸術表現学科専門科目,実習科目,Pythonプログラミング,2,2,,,◎,◯,,,,◎,,◯,,,◯,,◯,◎,,,◎,
芸術表現学科専門科目,実習科目,SNS分析演習,2,2,◯,,,◎,,,◯,◎,,,,◯,◎,,◯,◎,,◯,◎,
芸術表現学科専門科目,実習科目,空間音響演習Ⅰ,3,2,◎,◎,◯,◯,,,,◎,◯,◎,,◯,◎,,,◎,,◯,◎,◯
芸術表現学科専門科目,実習科目,空間音響演習Ⅱ,3,2,◯,◎,◎,◯,,◯,,,◎,◯,◎,,◯,◎,,◎,,◎,◎,◯
