科目区分1,科目区分2,科目名称,配当年次,単位数,DP1-1,DP1-2,DP1-3,DP1-4,DP1-5,DP1-6,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
芸術表現学科専門科目,実習科目,メディア作品演習,1,2,◎,◯,,◯,,,◎,◯,,,,◯,◎,,,◯,,◯,◎,
芸術表現学科専門科目,実習科目,ハーモニーⅠ,1,1,◯,◎,,◎,,,,◎,,◯,,,,,,◎,,,◎,◎
芸術表現学科専門科目,実習科目,ハーモニーⅡ,1,1,◯,◎,,◎,,,,◎,,◯,,,,,,◎,,,◎,◎
芸術表現学科専門科目,実習科目,ハーモニーⅢ,2,1,◯,◯,◎,◎,,,,,◎,◎,,,,,,◎,,,◎,◎
芸術表現学科専門科目,実習科目,ハーモニーⅣ,2,1,◯,◯,◎,◎,,,,,◎,◎,,,,,,◎,,,◎,◎
芸術表現学科専門科目,実習科目,ポップスハーモニーＡ,2,1,◯,◎,◯,,,,,◎,,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ポップスハーモニーＢ,2,1,◯,◎,◯,,,,,◎,,,,,,,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,アンサンブルＩ,1,2,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,アンサンブルⅡ,1,2,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,アンサンブルⅢ,2,2,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,アンサンブルⅣ,2,2,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソングライティングＡ,1,1,◯,◎,◯,,,◯,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソングライティングＢ,1,1,◯,◎,◯,,,◯,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソングライティングＣ,2,1,◯,◎,◯,,,◯,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソングライティングＤ,2,1,◯,◎,◯,,,◯,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ボーカル演習Ⅰ,1,1,,,◯,,◎,◯,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ボーカル演習Ⅱ,1,1,,,◯,,◎,◯,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,レコーディング演習Ⅰ,3,2,◯,◯,,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,レコーディング演習Ⅱ,3,2,◯,◯,,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,ポップス演習Ⅰ,3,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,ポップス演習Ⅱ,3,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,ポップス演習Ⅲ,4,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,ポップス演習Ⅳ,4,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,吹奏楽Ⅰ,1,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,吹奏楽Ⅱ,1,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,吹奏楽Ⅲ,2,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,吹奏楽Ⅳ,2,1,◯,◯,,,◯,◎,,,,,◎,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,器楽演習Ⅰ,3,1,◯,◯,,,◯,◎,,,,,◎,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,器楽演習Ⅱ,3,1,◯,◯,,,◯,◎,,,,,◎,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,器楽演習Ⅲ,4,1,◯,◯,,,◯,◎,,,,,◎,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,器楽演習Ⅳ,4,1,◯,◯,,,◯,◎,,,,,◎,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,劇作演習,3,1,,◯,◎,◯,,◎,,◯,,,◎,◯,◯,,,◎,,,◯,◎
芸術表現学科専門科目,実習科目,古典芸能基礎演習Ⅰ（狂言）,1,1,,,,◯,,◎,◯,◎,,,,◯,,◎,,,,,◎,◯
芸術表現学科専門科目,実習科目,古典芸能基礎演習Ⅱ（殺陣）,1,1,,,,◯,,◎,◯,◎,,,◯,,,◎,,,,,◎,◯
芸術表現学科専門科目,実習科目,アフレコ演習Ⅰ,3,1,,,,◯,,◎,◯,◎,,,,◯,,◎,,,,◎,◯,
芸術表現学科専門科目,実習科目,アフレコ演習Ⅱ,3,1,,,,◯,,◎,◯,◎,,,,◯,,◎,,,,◎,◯,
芸術表現学科専門科目,実習科目,アニソンＡ,3,1,,,,,,◎,◯,◎,,,◯,◎,,,,,,◯,◯,◎
芸術表現学科専門科目,実習科目,アニソンＢ,3,1,,,,,,◎,◯,◎,,,◯,◎,,,,,,◯,◯,◎
芸術表現学科専門科目,実習科目,パフォーミングアーツ演習Ⅰ,3,1,,◯,◯,◯,,◎,,◯,,,◎,,,◎,,,,◯,◎,
芸術表現学科専門科目,実習科目,パフォーミングアーツ演習Ⅱ,3,1,,◯,◯,◯,,◎,,◯,,,◎,,,◎,,,,◯,◎,
芸術表現学科専門科目,実習科目,パフォーミングアーツ演習Ⅲ,4,1,,◯,◯,◯,,◎,,,◯,,◎,,,◎,,,,◯,◎,
芸術表現学科専門科目,実習科目,パフォーミングアーツ演習Ⅳ,4,1,,◯,◯,◯,,◎,,,◯,,◎,,,◎,,,,◯,◎,
芸術表現学科専門科目,実習科目,音楽基礎論,1,2,◎,◯,,,,,◎,,,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソルフェージュⅠ,1,1,,◎,◯,,,,,◎,,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,ソルフェージュⅡ,2,1,,◎,◯,,,,,◎,,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,合唱Ⅰ,1,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,合唱Ⅱ,1,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,歌唱法Ⅰ,2,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,歌唱法Ⅱ,2,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,キーボード演習Ⅰ,1,1,,◯,◯,,,◎,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,キーボード演習Ⅱ,1,1,,◯,◯,,,◎,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,教職合奏Ａ,1,1,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,教職合奏Ｂ,1,1,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,伴奏法Ⅰ,3,1,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,伴奏法Ⅱ,3,1,,◯,◯,,◯,◎,,,,◎,,,,◯,,◎,,◯,,◎
芸術表現学科専門科目,実習科目,日本音楽実習Ⅰ,2,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,日本音楽実習Ⅱ,3,1,,◯,◯,,,◎,,,◎,,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,指揮法Ⅰ,3,1,,◯,◯,,,◎,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,指揮法Ⅱ,3,1,,◯,◯,,,◎,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,作曲法Ⅰ,2,2,,◎,◯,◯,,,◎,◯,,◯,,,,,,◎,,,◎,◯
芸術表現学科専門科目,実習科目,作曲法Ⅱ,2,2,,◎,◎,◯,,◯,,◎,◯,◎,,,,,,◎,,,◎,◯
芸術表現学科専門科目,実習科目,日本伝統音楽「長唄」の発声と表現,4,1,,◯,◯,,,◎,,,◎,,,,,,,◎,,,,◎
芸術表現学科専門科目,実習科目,教職ピアノⅠ,1,1,,◯,◯,,,◎,,,,◎,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,教職ピアノⅡ,1,1,,◯,◯,,,◎,,,,◎,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,教職ピアノⅢ,2,1,,◯,◯,,,◎,,,,◎,,,,◯,,◎,,,,◎
芸術表現学科専門科目,実習科目,教職ピアノⅣ,2,1,,◯,◯,,,◎,,,,◎,,,,◯,,◎,,,,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅰ,2,1,◯,◯,◎,,◯,◎,,◯,◎,◯,◯,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅱ,2,1,◯,◯,◎,,◯,◎,,◯,◎,◯,◯,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅲ,3,1,◯,◯,◎,,◯,◎,,,◎,◎,◯,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅳ,3,1,◯,◯,◎,,◯,◎,,,◎,◎,◯,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅴ,4,1,◯,◯,◎,,◯,◎,,,◯,◎,◎,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,芸術表現専修Ⅵ,4,1,◯,◯,◎,,◯,◎,,,◯,◎,◎,,,,,◎,,◯,◎,◎
芸術表現学科専門科目,芸術表現専修,和声対位法Ⅰ,3,1,◯,◎,◯,◎,,◯,,◯,◎,◎,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現専修,和声対位法Ⅱ,3,1,◯,◎,◯,◎,,◯,,◯,◎,◎,,,,,,◎,,,◎,◯
芸術表現学科専門科目,芸術表現専修,インプロビゼーション研究Ⅰ,3,1,,◯,◎,,,,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,芸術表現専修,インプロビゼーション研究Ⅱ,3,1,,◯,◎,,,,,,,◎,,,,,,◎,,,,◎
芸術表現学科専門科目,芸術表現専修,ジャズハーモニーⅠ,3,1,◯,◎,◯,,,,,◎,,,,,,,,◎,,,,◎
芸術表現学科専門科目,芸術表現専修,ジャズハーモニーⅡ,3,1,◯,◎,◯,,,,,◎,,,,,,,,◎,,,,◎
芸術表現学科専門科目,キャリア,キャリアプランニングＡ,3,2,,,,◯,◎,,,,,◎,◯,◯,◎,,,◎,,◎,◎,
芸術表現学科専門科目,キャリア,キャリアプランニングＢ,3,2,,,,◯,◎,,,,,◎,◯,◯,◎,,,◎,,◎,◎,
芸術表現学科専門科目,ゼミナール,基礎演習Ａ,1,2,◯,◎,,◯,,,◎,◯,,,,,◯,◎,,◎,,◎,◎,◯
芸術表現学科専門科目,ゼミナール,基礎演習Ｂ,1,2,◯,◎,,◯,,,◎,◯,,,,,◯,◎,,◎,,◎,◎,◯
芸術表現学科専門科目,ゼミナール,基礎演習Ｃ,2,2,◯,◎,,◯,,,◯,◎,,,,,◯,◎,,◎,,◎,◎,◯
