科目区分1,科目区分2,科目名称,配当年次,単位数,-,-,-,-,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
教養科目,異文化理解力,アジア文化論Ｂ,1,2,,,,,,,◎,,,,,,,◯,,◯,◎,◎,,
教養科目,異文化理解力,海外研修Ａ（言語）,1,2,,,,,,,,◯,,◎,,,,◯,,◯,◎,◎,◯,
教養科目,異文化理解力,海外研修Ｂ（文化）,1,2,,,,,,,,◯,,◎,,,,◯,,◯,◎,◎,◯,
教養科目,異文化理解力,日本語Ⅰ,1,2,,,,,,,◎,,,,,◯,◎,,○,◯,◎,◎,,
教養科目,異文化理解力,日本語Ⅱ,1,2,,,,,,,◎,,,,,◯,◎,,○,◯,◎,◎,,
教養科目,異文化理解力,日本語Ⅲ,2,1,,,,,,,◯,◎,,,,◯,○,,○,◎,◎,◎,,
教養科目,異文化理解力,日本語Ⅳ,2,1,,,,,,,◯,◎,,,,◎,○,,,,◎,◎,,
教養科目,異文化理解力,日本文化論Ａ,1,2,,,,,,,◎,,,○,,,,,,,◎,◎,,
教養科目,異文化理解力,日本文化論Ｂ,1,2,,,,,,,◎,,,○,,,,,,,◎,◎,,
教養科目,異文化理解力,日本語演習Ａ,1,2,,,,,,,◎,◯,,,,,,,,,◎,◎,,
教養科目,異文化理解力,日本語演習Ｂ,1,2,,,,,,,◎,◯,,○,,◯,○,,,◯,◎,◎,,
