科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,社会学概論,1,〇,,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,社会調査概論Ⅰ,1,◎,○,◎,,,,○,◎,,〇,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,社会調査概論Ⅱ,1,◎,○,◎,,,,○,◎,,〇,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,情報と社会,1,○,○,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,マス・メディア論,1,,○,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,デジタルメディア論,1,,○,◎,,,,○,◎,,,,◎,○,,,,○,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,社会心理学Ⅰ,1,◎,○,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,社会心理学Ⅱ,1,◎,○,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,発達心理学概論Ⅰ,1,◎,〇,◎,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,広告・広報論,1,◎,,○,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,ボランティア論,1,◎,,○,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,ファッション＆ブランド論,1,◎,,○,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,コンテンツビジネス論,1,○,,◎,,,,○,◎,,,〇,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,アイドル文化論,1,○,,◎,,,,○,◎,,,〇,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,アニメ文化論,1,○,,◎,,,,○,◎,,,〇,◎,○,,,,○,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,マルチメディア概論,1,○,,◎,,,,○,◎,,,〇,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,情報環境論,1,○,,◎,,,,○,◎,,,〇,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,地域研究論,1,○,,◎,,,,○,◎,,,,◎,〇,,,,○,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,埼玉・川越の歴史と文化,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,地理学,1,○,,◎,,,,○,◎,,,,◎,〇,,,,○,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,人文地理学,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,地誌,1,○,,◎,,,,○,◎,,,,◎,〇,,,,○,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,地誌特論,1,○,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,社会思想Ⅰ,1,〇,◎,,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（地域社会・歴史フィールド）,社会思想Ⅱ,1,〇,◎,,,,,○,◎,,,,◎,〇,,,,,,,◎
